"","genenames"
"548","NSUN4"
"549","FAAH"
"550","MKNK1"
"551","MOB3C"
"552","ATPAF1"
"553","EFCAB14"
"554","LINC00853"
"555","PDZK1IP1"
"556","TAL1"
"557","STIL"
"558","CMPK1"
"559","FOXD2-AS1"
"560","FOXD2"
"561","SPATA6"
"562","BEND5"
"563","FAF1"
"564","CDKN2C"
"565","RNF11"
"566","TTC39A"
"567","EPS15"
"568","RP11-191G24.1"
"569","OSBPL9"
"570","NRDC"
"571","RP4-657D16.3"
"572","RAB3B"
"573","TXNDC12"
"574","KTI12"
"575","BTF3L4"
"576","ZFYVE9"
"577","CC2D1B"
"578","ORC1"
"579","PRPF38A"
"580","ZCCHC11"
"581","GPX7"
"582","FAM159A"
"583","COA7"
"584","ZYG11B"
"585","ECHDC2"
"586","SCP2"
"587","SLC1A7"
"588","CPT2"
"589","RP5-1024G6.2"
"590","C1orf123"
"591","RP5-1024G6.7"
"592","MAGOH"
"593","RP5-1024G6.5"
"594","LRP8"
"595","RP11-117D22.2"
"596","NDC1"
"597","YIPF1"
"598","HSPB11"
"599","LRRC42"
"600","TMEM59"
"601","TCEANC2"
"602","CYB5RL"
"603","MRPL37"
"604","SSBP3"
"605","SSBP3-AS1"
"606","RP5-997D24.3"
"607","ACOT11"
"608","TTC4"
"609","PARS2"
"610","TTC22"
"611","DHCR24"
"612","USP24"
"613","OMA1"
"614","MYSM1"
"615","JUN"
"616","RP4-794H19.1"
"617","LINC01358"
"618","FGGY"
"619","HOOK1"
"620","NFIA"
"621","TM2D1"
"622","RP11-430G17.3"
"623","INADL"
"624","L1TD1"
"625","USP1"
"626","DOCK7"
"627","ATG4C"
"628","ALG6"
"629","ITGB3BP"
"630","EFCAB7"
"631","PGM1"
"632","ROR1"
"633","CACHD1"
"634","RAVER2"
"635","JAK1"
"636","AK4"
"637","DNAJC6"
"638","LEPROT"
"639","LEPR"
"640","PDE4B"
"641","TCTEX1D1"
"642","WDR78"
"643","MIER1"
"644","SLC35D1"
"645","IL23R"
"646","IL12RB2"
"647","SERBP1"
"648","GADD45A"
"649","WLS"
"650","DEPDC1"
"651","LRRC7"
"652","LRRC40"
"653","SRSF11"
"654","ANKRD13C"
"655","HHLA3"
"656","CTH"
"657","PTGER3"
"658","ZRANB2"
"659","NEGR1"
"660","LRRIQ3"
"661","FPGT"
"662","FPGT-TNNI3K"
"663","CRYZ"
"664","TYW3"
"665","ACADM"
"666","RABGGTB"
